context,question,category,answer
"Petra is very sleepy at work today, Andy finds the day boring, and Ezgi is working.",Is Ezgi still working tomorrow?,Stationarity, no
Nick finds Jane pretty and invites her for a drink to get to know her better. Jane rejects Nick and is unpleasant to him. Nick suggests Jane to forget about their conversation.,How often does Jane and her have a drink?,Frequency, once a week
Nick finds Jane pretty and invites her for a drink to get to know her better. Jane rejects Nick and is unpleasant to him. Nick suggests Jane to forget about their conversation.,How long does Jane and her conversation?,Event Duration, 10 minutes
Nick finds Jane pretty and invites her for a drink to get to know her better. Jane rejects Nick and is unpleasant to him. Nick suggests Jane to forget about their conversation.,When did Jane have a drink?,Typical Time, 12:00 PM
Nick finds Jane pretty and invites her for a drink to get to know her better. Jane rejects Nick and is unpleasant to him. Nick suggests Jane to forget about their conversation.,What happens after Jane and hers?,Event Ordering, they go their separate ways
Nick finds Jane pretty and invites her for a drink to get to know her better. Jane rejects Nick and is unpleasant to him. Nick suggests Jane to forget about their conversation.,Is Jane still having a drink after the conversation?,Stationarity, no
"Julia knew Tim was gay, while Adam and Nate didn't.",How often does Julia and Nate know each other?,Frequency, every day
"Julia knew Tim was gay, while Adam and Nate didn't.",How long did it take to know about the gayness of the other person?,Event Duration, 10 years
"Julia knew Tim was gay, while Adam and Nate didn't.",When did they know about the gayness of the other person?,Typical Time, 10 years ago
"Julia knew Tim was gay, while Adam and Nate didn't.",What did they do after they were gay?,Event Ordering, they accepted it
Lilly will be late. Gabriel will order pasta with salmon and basil for her.,How many times a week does Gabriel order pasta?,Frequency, once
Lilly will be late. Gabriel will order pasta with salmon and basil for her.,How long will it take to order the pasta?,Event Duration, 10 minutes
Lilly will be late. Gabriel will order pasta with salmon and basil for her.,When did she order the pasta?,Typical Time, 1:00 PM
Lilly will be late. Gabriel will order pasta with salmon and basil for her.,What time of day will she order the pasta?,Event Ordering, 1:00 PM
"Celine is not at home, but she will call Cara before visiting her.",How many times a week does she visit Cara?,Frequency, once
"Celine is not at home, but she will call Cara before visiting her.",How long will she visit Cara?,Event Duration, 2 hours
"Celine is not at home, but she will call Cara before visiting her.",When did she visit Cara?,Typical Time, 1:00 PM
"Celine is not at home, but she will call Cara before visiting her.",What happens after she is at home?,Event Ordering, she goes to sleep
"Celine is not at home, but she will call Cara before visiting her.",Is she still at home?,Stationarity, no
Derek will be at Craig's in 20 minutes to help him with his malfunctioning computer.,How often will Derek be at Craig's house?,Frequency, every week
Derek will be at Craig's in 20 minutes to help him with his malfunctioning computer.,How long will Derek be at Craig's?,Event Duration, 2 hours
Derek will be at Craig's in 20 minutes to help him with his malfunctioning computer.,When will Derek arrive to work?,Typical Time, 10:00 AM
Derek will be at Craig's in 20 minutes to help him with his malfunctioning computer.,What happens after he arrives at Craig's?,Event Ordering, he gets help
Derek will be at Craig's in 20 minutes to help him with his malfunctioning computer.,Is Derek still at Craig's in 20 minutes?,Stationarity, no
Abigail is not going to take a stroll with the little ones. Her smog alert app is showing that the norms have been exceeded by 30% today.,How many times a week does Abigail take a stroll?,Frequency, 3 times
Abigail is not going to take a stroll with the little ones. Her smog alert app is showing that the norms have been exceeded by 30% today.,How long did the stroller take?,Event Duration, 1 hour
Abigail is not going to take a stroll with the little ones. Her smog alert app is showing that the norms have been exceeded by 30% today.,When did Abigail take a stroll?,Typical Time, 12:00 PM
Abigail is not going to take a stroll with the little ones. Her smog alert app is showing that the norms have been exceeded by 30% today.,What did she do after the smog alert app?,Event Ordering, she went home
Abigail is not going to take a stroll with the little ones. Her smog alert app is showing that the norms have been exceeded by 30% today.,Is Abigail still taking a stroll with the little ones tomorrow?,Stationarity, no
Paul will buy red roses following Cindy's advice.,How often does Paul buy red roses?,Frequency, once a year
Paul will buy red roses following Cindy's advice.,How long will it take to buy red roses?,Event Duration, 10 minutes
Paul will buy red roses following Cindy's advice.,When will Paul buy the red roses?,Typical Time, 12:00 PM
Paul will buy red roses following Cindy's advice.,What happens after Paul buys the red roses?,Event Ordering, he gives them to cindy
Paul will buy red roses following Cindy's advice.,Is Paul still buying red roses after the roses?,Stationarity, yes
Jenny has left her credit car at the Mary's shop.,How often does Jenny leave her credit car at the shop?,Frequency, once
Jenny has left her credit car at the Mary's shop.,How long did it take to leave the credit car at the Mary's shop?,Event Duration, 10 minutes
Jenny has left her credit car at the Mary's shop.,When did she leave the shop?,Typical Time, 1:00 PM
Jenny has left her credit car at the Mary's shop.,What did she do after leaving the shop?,Event Ordering, went home
Jenny has left her credit car at the Mary's shop.,Is Jenny still at the Mary's shop tomorrow?,Stationarity, no
It's Tom's birthday. Lara and Gary will come to Tom's place about 5 pm to prepare everything before Tom gets back home at 5:30. Gary has already paid for the cake - Lara will pick it up and she will also get the balloons.,How many times a week does Lara and Gary go to work?,Frequency, 5 times
It's Tom's birthday. Lara and Gary will come to Tom's place about 5 pm to prepare everything before Tom gets back home at 5:30. Gary has already paid for the cake - Lara will pick it up and she will also get the balloons.,How long will it take to prepare the cake?,Event Duration, 15 minutes
It's Tom's birthday. Lara and Gary will come to Tom's place about 5 pm to prepare everything before Tom gets back home at 5:30. Gary has already paid for the cake - Lara will pick it up and she will also get the balloons.,Is Lara still at home?,Stationarity, no
Paul is late for a meeting with Laura and she refuses to wait any longer.,How many times a week does Paul go to meetings?,Frequency, 3 times
Paul is late for a meeting with Laura and she refuses to wait any longer.,How long does the meeting last?,Event Duration, 1 hour
Paul is late for a meeting with Laura and she refuses to wait any longer.,When did Paul meet with Laura?,Typical Time, 12:00 PM
Paul is late for a meeting with Laura and she refuses to wait any longer.,What happens after Paul is late for the meeting?,Event Ordering, he gets fired
Salma and Hugh like cat memes.,How often do they like cat memes?,Frequency, every day
Salma and Hugh like cat memes.,How long does Salma and Hugh like cat memes?,Event Duration, 10 minutes
Salma and Hugh like cat memes.,When did Salma and Hugh meet?,Typical Time, 1990
Salma and Hugh like cat memes.,What happened after Salma and Hugh were like cat memes?,Event Ordering, they laughed
"Todays results show that Matt and Oliver got into Stanford University, Peter did not.",How often do they get into Stanford University?,Frequency, once
